category,product_title,product_url,discount,shop,price_rsd,is_cheapest,source_file,date,time
brasno,Brašno DM BIO kokosovo 300g,https://cenoteka.rs/p/brasno-dm-bio-kokosovo-300g/,,dm,199.0,True,page001,03-10-2025,14:46:08
brasno,Palenta DM BIO 500g,https://cenoteka.rs/p/palenta-dm-bio-500g/,,dm,179.0,True,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS meko T-400 1kg,https://cenoteka.rs/p/brasno-danubius-meko-t-400-1kg/,-18%,dis,69.99,True,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS meko T-400 1kg,https://cenoteka.rs/p/brasno-danubius-meko-t-400-1kg/,-18%,tempo,83.99,False,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS meko T-400 1kg,https://cenoteka.rs/p/brasno-danubius-meko-t-400-1kg/,-18%,maxi,83.99,False,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS meko T-400 1kg,https://cenoteka.rs/p/brasno-danubius-meko-t-400-1kg/,-18%,ananas,84.0,False,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS meko T-400 1kg,https://cenoteka.rs/p/brasno-danubius-meko-t-400-1kg/,-18%,idea,84.7,False,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS meko T-400 1kg,https://cenoteka.rs/p/brasno-danubius-meko-t-400-1kg/,-18%,roda,84.7,False,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS T-850 900g,https://cenoteka.rs/p/brasno-danubius-t-850-900g/,-8%,maxi,76.99,True,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS T-850 900g,https://cenoteka.rs/p/brasno-danubius-t-850-900g/,-8%,tempo,76.99,True,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS T-850 900g,https://cenoteka.rs/p/brasno-danubius-t-850-900g/,-8%,dis,79.46,False,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS T-850 900g,https://cenoteka.rs/p/brasno-danubius-t-850-900g/,-8%,idea,80.5,False,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS T-850 900g,https://cenoteka.rs/p/brasno-danubius-t-850-900g/,-8%,roda,80.5,False,page001,03-10-2025,14:46:08
brasno,Brašno DANUBIUS T-850 900g,https://cenoteka.rs/p/brasno-danubius-t-850-900g/,-8%,univerexport,80.99,False,page001,03-10-2025,14:46:08
brasno,Griz C pšenični dečiji 400g,https://cenoteka.rs/p/griz-c-psenicni-deciji-400g/,-11%,tempo,150.49,True,page001,03-10-2025,14:46:08
brasno,Griz C pšenični dečiji 400g,https://cenoteka.rs/p/griz-c-psenicni-deciji-400g/,-11%,maxi,150.49,True,page001,03-10-2025,14:46:08
brasno,Griz C pšenični dečiji 400g,https://cenoteka.rs/p/griz-c-psenicni-deciji-400g/,-11%,dis,154.44,False,page001,03-10-2025,14:46:08
brasno,Griz C pšenični dečiji 400g,https://cenoteka.rs/p/griz-c-psenicni-deciji-400g/,-11%,idea,154.44,False,page001,03-10-2025,14:46:08
brasno,Griz C pšenični dečiji 400g,https://cenoteka.rs/p/griz-c-psenicni-deciji-400g/,-11%,roda,154.44,False,page001,03-10-2025,14:46:08
brasno,Griz C pšenični dečiji 400g,https://cenoteka.rs/p/griz-c-psenicni-deciji-400g/,-11%,univerexport,155.99,False,page001,03-10-2025,14:46:08
brasno,Palenta DR.OETKER 60g,https://cenoteka.rs/p/palenta-droetker-60g/,-10%,univerexport,56.99,True,page001,03-10-2025,14:46:08
brasno,Palenta DR.OETKER 60g,https://cenoteka.rs/p/palenta-droetker-60g/,-10%,maxi,57.99,False,page001,03-10-2025,14:46:08
