,date,time,longitude,latitude,attack_type,location_description,country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source,region,country_name
0,1993-01-02,,116.9667,19.7,,Hong Kong - Luzon - Hainan,CHN,TWN,357.5023725724185,115.82595611500004,22.746643521000067,,Mv Cosmic Leader,,,mappingpiracy,East Asia & Pacific,China
1,1993-01-04,,116.0,22.35,,Hong Kong - Luzon - Hainan,CHN,CHN,47.43157252093151,115.82595611500004,22.746643521000067,,Mv Tricolor Star III,,,mappingpiracy,East Asia & Pacific,China
2,1993-01-06,,115.25,19.67,,Hong Kong - Luzon - Hainan,CHN,TWN,280.81187093993,114.30250084700003,22.04486725500004,,Mv Arktis Star,,,mappingpiracy,East Asia & Pacific,China
3,1993-01-08,,124.5833,29.9,,East China Sea,CHN,CHN,209.92339619754955,122.40967858200008,29.91120026200008,,Ussurijsk,,,mappingpiracy,East Asia & Pacific,China
4,1993-01-12,,120.2667,18.1333333,,Hong Kong - Luzon - Hainan,PHL,PHL,22.027332077847085,120.470062696,18.091009833000044,,Mv Chennai Nermai,,,mappingpiracy,East Asia & Pacific,Philippines
5,1993-01-13,,101.85,9.7173,,Gulf of Thailand. South China Sea,KHM,KHM,184.7966407471729,103.29216556100005,10.583156643000052,,Emelyan Yaroslavskiy,,,mappingpiracy,East Asia & Pacific,Cambodia
6,1993-01-25,,106.8667,8.5666667,,South China Sea,VNM,VNM,27.43734378248801,106.65577233200004,8.698879299000055,,Mv Indira Ghandhi,,,mappingpiracy,East Asia & Pacific,Vietnam
7,1993-01-26,,123.5,29.0,,East China Sea,CHN,CHN,141.5155642586203,122.39519290500004,29.833319403000075,,Mt Petrobulk Panther,,,mappingpiracy,East Asia & Pacific,China
8,1993-01-26,,13.25,-8.8,,"Luanda, Angola",AGO,AGO,0.509215669071792,13.245371941000087,-8.80006275799991,,Mv Bodrog,,Anchored,mappingpiracy,Sub-Saharan Africa,Angola
9,1993-01-26,,119.4,4.4333333,,South China Sea,PHL,PHL,25.378587646219167,119.45655358200008,4.65570709800005,,Mv Southern King,,,mappingpiracy,East Asia & Pacific,Philippines
10,1993-01-27,,13.25,-8.8,,"Port of Luanda, Angola",AGO,AGO,0.509215669071792,13.245371941000087,-8.80006275799991,,,,,mappingpiracy,Sub-Saharan Africa,Angola
11,1993-02-04,,123.1667,25.75,,East China Sea,,,34.60225312662303,123.51148522200016,25.75808340100008,,Sukhinichi,,,mappingpiracy,,
12,1993-02-05,,7.2267,5.0016667,,"Bonny Anchorage, Nigeria",NGA,NGA,31.946025339101165,7.071787957000083,4.75812409100007,,Mv Norgas Navigator,,Anchored,mappingpiracy,Sub-Saharan Africa,Nigeria
13,1993-02-06,,118.1667,16.5833333,,Hong Kong - Luzon - Hainan,PHL,PHL,174.73669588480044,119.75782311300009,16.21670156500005,,Mv Hulpha Kluang,,,mappingpiracy,East Asia & Pacific,Philippines
14,1993-02-15,,121.2995,38.6974,,7.4 miles SE of Waglan. South China Sea,CHN,CHN,9.412733695661812,121.19849694100004,38.72785065300008,,Mv Marine Peace,,,mappingpiracy,East Asia & Pacific,China
15,1993-02-16,,118.7167,19.3166667,,Hong Kong - Luzon - Hainan,PHL,PHL,214.9032464638089,120.56080162900004,18.486761786000045,,Mv Lion,,,mappingpiracy,East Asia & Pacific,Philippines
16,1993-02-16,,39.3533,-6.775,,"Dar-Es-Salam Anchor, Tanzania",TZA,TZA,5.977859498251536,39.32650800900007,-6.82195403399993,,Mv Socol 5,,,mappingpiracy,Sub-Saharan Africa,Tanzania
17,1993-02-16,,111.0333,17.3333333,,Hong Kong - Luzon - Hainan,CHN,CHN,107.32752278973696,111.60287519600008,16.533351955000057,,Mv Mary Nour,,,mappingpiracy,East Asia & Pacific,China
18,1993-02-16,,111.2,15.7833333,,,VNM,VNM,0.4759014939646424,111.19629967500003,15.785711981000077,,Mt Samuel L. Cobb,,,mappingpiracy,East Asia & Pacific,Vietnam
19,1993-02-16,,39.3533,-6.775,,"Dar-Es-Salam Roads, Tanzania",TZA,TZA,5.977859498251536,39.32650800900007,-6.82195403399993,,,,,mappingpiracy,Sub-Saharan Africa,Tanzania
20,1993-02-18,,115.25,19.67,,Western Luzon. Hong Kong - Luzon - Hainan,CHN,TWN,280.81187093993,114.30250084700003,22.04486725500004,,Mv Aleksandr Tsyurupa,,,mappingpiracy,East Asia & Pacific,China
21,1993-02-25,,104.4,8.5166667,,South China Sea,VNM,VNM,36.7996075652598,104.72291100400008,8.602687893000052,,Mv Great Amity,,,mappingpiracy,East Asia & Pacific,Vietnam
22,1993-02-25,,124.4333,36.2,,East China Sea,KOR,KOR,162.26266109885887,126.12891686300009,36.71190013200004,,Mv Komsomolets,,,mappingpiracy,East Asia & Pacific,"Korea, Rep."
23,1993-02-28,,67.1457,24.7847,,"Base Creek, Anchor. Arabian Sea",PAK,PAK,1.2913772630500364,67.15601647200003,24.79157135600008,,Mv Alam Sempurna,,Anchored,mappingpiracy,South Asia,Pakistan
24,1993-03-01,,50.5833,8.9333333,,Somalia,SOM,SOM,9.939720779769596,50.494883660000085,8.951971747000073,,Somalian Glory,,,mappingpiracy,Sub-Saharan Africa,Somalia
25,1993-03-03,,120.4667,25.4333333,,Taiwan Sea,CHN,CHN,61.08917381500073,119.87452233200008,25.556789455000057,,Mv Tulsidas,,,mappingpiracy,East Asia & Pacific,China
26,1993-03-05,,120.0667,17.6,,Hong Kong - Luzon - Hainan,PHL,PHL,28.76509066756926,120.33383222700002,17.556382554000038,,Mv Zirje,,,mappingpiracy,East Asia & Pacific,Philippines
27,1993-03-06,,98.7167,3.8,,Straits of Malacca-Indonesia,IDN,IDN,0.793892443815096,98.71062259200004,3.80377838700008,,Mv Kavo Sidero,,,mappingpiracy,East Asia & Pacific,Indonesia
28,1993-03-19,,122.7667,37.2833333,,East China Sea,CHN,CHN,12.774793237699964,122.67896569100004,37.374660549000055,,Mv Sibirskiy 2114,,,mappingpiracy,East Asia & Pacific,China
29,1993-03-21,,115.25,19.67,,SW of Hong Kong. Hong Kong - Luzon - Hainan,CHN,TWN,280.81187093993,114.30250084700003,22.04486725500004,,M69204Y,,,mappingpiracy,East Asia & Pacific,China
30,1993-03-21,,109.5,15.0,,South China Sea,VNM,VNM,54.138364991579714,109.08082116000004,14.72947825700004,,Mt Suci,,,mappingpiracy,East Asia & Pacific,Vietnam
31,1993-03-23,,105.85,3.8166667,,South China Sea,IDN,IDN,68.73987072071623,106.27084394600008,3.3609886740000547,,Mv Kurama,,,mappingpiracy,East Asia & Pacific,Indonesia
32,1993-03-23,,124.3333,26.75,,East China Sea,,,97.18674872683712,124.5668237640001,25.89842357000009,,Mv Vsip Pyatnitskiy,,,mappingpiracy,,
33,1993-03-24,,-43.1667,-22.8933333,,"Anchorage, Rio de Janeiro, Brazil",BRA,BRA,0.53913985225232,-43.16209876199992,-22.895684502999927,,Mv Santos Express,,Anchored,mappingpiracy,Latin America & Caribbean,Brazil
34,1993-04-02,,121.7766,38.7931,,30 miles East of Waglan. Hong Kong - Luzon - Hainan,CHN,CHN,10.427624572622124,121.69629967500008,38.862941799000055,,Mv Bunga Terasek,,,mappingpiracy,East Asia & Pacific,China
35,1993-04-04,,123.8,22.7333333,,Hong Kong - Luzon - Hainan,JPN,JPN,168.82713814967636,123.85124759200004,24.25698476800005,,Mv Pernas Proton,,,mappingpiracy,East Asia & Pacific,Japan
36,1993-04-04,,115.6667,22.3333333,,Hong Kong - Luzon - Hainan,CHN,CHN,38.272811726867104,115.57521894800004,22.66833597200008,,Mv Birlad,,,mappingpiracy,East Asia & Pacific,China
37,1993-04-08,,111.4167,12.5166667,,South China Sea,VNM,VNM,211.8323817007931,109.47242272200003,12.656398830000056,,Mv NL Trader,,,mappingpiracy,East Asia & Pacific,Vietnam
38,1993-04-13,,115.25,19.67,,Hong Kong Harbour. Hong Kong - Luzon - Hainan,CHN,TWN,280.81187093993,114.30250084700003,22.04486725500004,,MV Baltimar Neptune,,,mappingpiracy,East Asia & Pacific,China
39,1993-04-17,,115.6167,17.6333333,,Hong Kong - Luzon - Hainan,CHN,TWN,324.79292481988983,112.73682701900007,16.660223700000074,,MV Sun Kung No. 8,,,mappingpiracy,East Asia & Pacific,China
40,1993-04-22,,117.35,20.3,,Hong Kong - Luzon - Hainan,CHN,TWN,305.3620369727799,116.494687913,22.93935241300005,,MV OOCL Beacon,,,mappingpiracy,East Asia & Pacific,China
41,1993-04-22,,98.6767,3.7766667,,Belawan Port. Straits of Malacca-Indonesia,IDN,IDN,4.815190418867126,98.71062259200004,3.80377838700008,,Mv Magic Lady,,,mappingpiracy,East Asia & Pacific,Indonesia
42,1993-04-22,,116.0833,19.4,,Hong Kong - Luzon - Hainan,CHN,TWN,346.61626883761284,114.30250084700003,22.04486725500004,,MV Salud Ace,,,mappingpiracy,East Asia & Pacific,China
43,1993-04-23,,116.7833,21.1666667,,Hong Kong - Luzon - Hainan,CHN,TWN,196.9697334366181,116.09568990500009,22.82590045700005,,Bukhta,,,mappingpiracy,East Asia & Pacific,China
44,1993-04-23,,117.5,20.8,,Hong Kong - Luzon - Hainan,CHN,TWN,258.66988454100385,116.494687913,22.93935241300005,,Mv Old Sea Beacon,,,mappingpiracy,East Asia & Pacific,China
45,1993-04-29,,126.0333,28.85,,East China Sea,JPN,JPN,241.21750851419765,128.229828321,27.86896393400008,,MT President,,,mappingpiracy,East Asia & Pacific,Japan
46,1993-04-29,,114.1833,17.926,,300 miles South of Hong Kong. Hong Kong - Luzon - Hainan,CHN,CHN,207.85426091895985,112.73340905000008,16.666083075000074,,Mv Zhongshan,,,mappingpiracy,East Asia & Pacific,China
47,1993-05-02,,124.95,35.2333333,,East China Sea,KOR,KOR,73.42519402861082,125.421234571,34.69708893400008,,Mv Konstantin,,,mappingpiracy,East Asia & Pacific,"Korea, Rep."
48,1993-05-03,,120.05,17.3,,South China Sea,PHL,PHL,38.16391116043455,120.40821373800009,17.322699286000045,,,,,mappingpiracy,East Asia & Pacific,Philippines
49,1993-05-04,,115.984,19.3123,,235 miles SE of Hong Kong. Hong Kong - Luzon - Hainan,CHN,TWN,349.5862663424488,114.30250084700003,22.04486725500004,,Mv Tricolor Star III,,,mappingpiracy,East Asia & Pacific,China
50,1993-05-04,,123.85,35.7833333,,East China Sea,CHN,KOR,172.48632608298792,122.51734459700003,36.90314362200007,,Mv Komsomlskaya Smena,,,mappingpiracy,East Asia & Pacific,China
51,1993-05-17,,3.3767,6.45,,"16 miles South of Lagos, Nigeria",NGA,NGA,0.7458489210053331,3.373871290000068,6.456122137000079,,Mt Petrobulk Panther,,,mappingpiracy,Sub-Saharan Africa,Nigeria
52,1993-05-19,,106.0,-5.95,,"Alongside Prointal Jetty, Indonesia",IDN,IDN,3.580700836442724,105.99724368600005,-5.917738539999959,,Maersk Sussex,,,mappingpiracy,East Asia & Pacific,Indonesia
53,1993-05-24,,100.1667,3.5,,Straits of Malacca-Indonesia,IDN,IDN,58.18179192017877,99.75074303500004,3.180487372000073,,Mv Star Lily,,,mappingpiracy,East Asia & Pacific,Indonesia
54,1993-05-25,,108.7167,-5.7833333,,Java Sea,IDN,IDN,64.6490793806986,108.36026907700004,-6.246400944999948,,Mt Timur Mercury,,,mappingpiracy,East Asia & Pacific,Indonesia
55,1993-05-25,,108.4,6.9833333,,South China Sea,IDN,VNM,248.38090003650623,108.00513756600004,4.772365627000056,,Mv Pina,,,mappingpiracy,East Asia & Pacific,Indonesia
56,1993-06-02,,122.1833,37.4333333,,Port of Weihaiwei. East China Sea,CHN,CHN,1.284733748928213,122.19776451900007,37.43235911700009,,Mv Sibirskiy-2114,,,mappingpiracy,East Asia & Pacific,China
57,1993-06-03,,101.45,1.6766667,,Dumai Port. Straits of Malacca-Indonesia,IDN,IDN,4.422683576792091,101.42701256600004,1.7092959660000702,,Mt Timur Endurance,,,mappingpiracy,East Asia & Pacific,Indonesia
58,1993-06-09,,101.9,2.25,,Straits of Malacca-Malaysia,MYS,MYS,16.441095149646834,101.86524498800004,2.394517320000091,,Mt Royal Arrow,,,mappingpiracy,East Asia & Pacific,Malaysia
59,1993-06-09,,124.6667,27.6166667,,East China Sea,,,190.6399253089748,124.5668237640001,25.89842357000009,,Mv Soyuz 4,,,mappingpiracy,,
60,1993-06-11,,124.1667,22.75,,East China Sea,JPN,JPN,169.7109434801409,123.87305748800009,24.258246161000045,,Mt Dooyang Amber,,,mappingpiracy,East Asia & Pacific,Japan
61,1993-06-11,,123.5667,37.7,,East China Sea,CHN,CHN,84.0370616377704,122.68824303500004,37.409816799000055,,Mv Kap. Modest Ivanov,,,mappingpiracy,East Asia & Pacific,China
62,1993-06-12,,79.8432,6.95,,"Colombo Outer Road, Sri Lanka",LKA,LKA,1.4503777338162311,79.84815514400003,6.962144273000092,,Mv Tiger Stream,,,mappingpiracy,South Asia,Sri Lanka
63,1993-06-13,,123.3167,36.8166667,,East China Sea,CHN,CHN,70.94400709739566,122.53272545700008,36.92593008000006,,Gorets,,,mappingpiracy,East Asia & Pacific,China
64,1993-06-15,,122.9286,29.0791,,150NM SE of Shanghai. East China Sea,CHN,CHN,93.28014703911194,121.99146569100004,29.25731028900009,,Mv Kovdor,,,mappingpiracy,East Asia & Pacific,China
65,1993-06-16,,125.1539,29.2179,,East China Sea,CHN,CHN,275.9887221976069,122.39519290500004,29.833319403000075,,Mv Tokarevsk,,,mappingpiracy,East Asia & Pacific,China
66,1993-06-17,,127.5,29.7833333,,East China Sea,JPN,KOR,196.3917210773024,129.527679884,29.90232982000004,,Mv Elm,,,mappingpiracy,East Asia & Pacific,Japan
67,1993-06-21,,3.3667,6.2833333,,Nigeria,NGA,NGA,12.766603093328762,3.326182488000086,6.391424872000073,,Mt Dan Frigg,,,mappingpiracy,Sub-Saharan Africa,Nigeria
68,1993-06-24,,111.2333,20.4166667,,Hong Kong - Luzon - Hainan,CHN,CHN,55.44484005537841,110.92066491000004,20.01203034100007,,Mv Kapitan Betkher,,,mappingpiracy,East Asia & Pacific,China
69,1993-06-25,,-77.0667,3.8766667,,"Inner Anchorage, Buenaventura, Colombia",COL,COL,1.0088997260916364,-77.06859290299991,3.8677432310000768,,Mv Crion,,,mappingpiracy,Latin America & Caribbean,Colombia
70,1993-06-25,,128.6167,35.0666667,,East China Sea,KOR,KOR,0.7547466034766881,128.62476647200003,35.06818268400008,,Gorets,,,mappingpiracy,East Asia & Pacific,"Korea, Rep."
71,1993-06-26,,110.5833,20.9666667,,China,CHN,CHN,1.0401832077231845,110.58961022200003,20.959377346000053,,Mv Pavel Rybin,,,mappingpiracy,East Asia & Pacific,China
72,1993-06-26,,106.5,5.25,,South China Sea,IDN,IDN,170.43405856959174,107.93677819100004,4.703070380000042,,Mv Far Trader,,,mappingpiracy,East Asia & Pacific,Indonesia
73,1993-06-26,,116.25,20.7666667,,Hong Kong - Luzon - Hainan,CHN,TWN,221.8364662183939,115.57521894800004,22.66833597200008,,Mv Kap. Leo. Borisenko,,,mappingpiracy,East Asia & Pacific,China
